id,station_name,city,state,zip,latitude,longitude,ev_connector_types,ev_network,ev_dc_fast_num,ev_level1_evse_num,ev_level2_evse_num,date_last_confirmed
39938,Coast Nissan,San Luis Obispo,CA,93405,35.25062,-120.68455,"CHADEMO,J1772",Non-Networked,1,0,4,2024-02-12
39939,Stevens Creek Nissan,Santa Clara,CA,95051,37.32349,-121.98788,"CHADEMO,J1772,J1772COMBO",Non-Networked,2,0,1,2024-02-12
39943,Jim Bone Nissan,Santa Rosa,CA,95404,38.42558,-122.71418,"CHADEMO,J1772,J1772COMBO",Non-Networked,1,0,4,2024-02-12
39944,Cardinale Nissan,Seaside,CA,93955,36.611189,-121.849899,"CHADEMO,J1772",Non-Networked,1,0,2,2024-02-12
39945,Nissan of Van Nuys,Sherman Oaks,CA,91401,34.16924,-118.44896,"CHADEMO,J1772,J1772COMBO",Non-Networked,1,0,1,2024-02-12
39947,First Nissan,Simi Valley,CA,93065,34.27735,-118.7796,"CHADEMO,J1772,J1772COMBO",Non-Networked,1,0,1,2024-02-12
39948,Nissan of Stockton,Stockton,CA,95212,38.02221,-121.27534,"CHADEMO,J1772",Non-Networked,1,0,2,2024-02-12
39949,Temecula Nissan,Temecula,CA,92591,33.516768,-117.155039,"CHADEMO,J1772",Non-Networked,1,0,2,2024-02-12
39951,Tracy Nissan,Tracy,CA,95304,37.75990555387505,-121.4632051865082,J1772,Non-Networked,0,0,1,2024-02-12
39952,Nissan of Tustin,Tustin,CA,92782,33.72487,-117.79896,"CHADEMO,J1772,J1772COMBO",Non-Networked,1,0,1,2024-02-12
39953,Nissan of Vacaville,Vacaville,CA,95687,38.381441,-121.941218,J1772,Non-Networked,0,0,1,2024-02-12
39955,Vallejo Nissan,Vallejo,CA,94590,38.118088,-122.255493,J1772,Non-Networked,0,0,1,2024-02-12
39956,Valley Hi Nissan,Victorville,CA,92394,34.517883,-117.3219,J1772,Non-Networked,0,0,1,2024-02-12
39957,Nissan of Visalia,Visalia,CA,93292,36.32325,-119.27596,"CHADEMO,J1772,J1772COMBO",Non-Networked,1,0,1,2024-02-12
