city,date,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun
Davis,2023-09-19,20.5,13.6,29.5,0.0,,,13.1,,1012.1,
Davis,2023-09-20,20.1,13.0,29.6,0.0,,,13.6,,1008.7,
Davis,2023-09-21,19.9,12.7,29.3,0.0,,,12.5,,1010.2,
Davis,2023-09-22,19.2,11.0,28.2,0.0,,,10.6,,1014.0,
Davis,2023-09-23,18.2,10.3,27.5,0.0,,,13.0,,1014.8,
Davis,2023-09-24,18.0,10.1,27.1,0.0,,,13.8,,1014.9,
Davis,2023-09-25,18.3,11.4,25.9,0.0,,,13.7,,1017.0,
Davis,2023-09-26,21.9,17.1,28.6,0.0,,,10.0,,1018.5,
Davis,2023-09-27,21.6,12.6,30.7,0.0,,,9.4,,1015.5,
Davis,2023-09-28,22.0,14.1,31.3,0.0,,,11.6,,1011.6,
Davis,2023-09-29,19.4,13.1,28.5,0.0,,,14.7,,1007.9,
Davis,2023-09-30,17.4,14.1,21.8,0.7,,,9.1,,1008.0,
Davis,2023-10-01,18.0,12.0,24.9,0.0,,,9.6,,1010.9,
Davis,2023-10-02,18.2,11.1,27.1,0.0,,,9.9,,1014.9,
Davis,2023-10-03,19.5,11.7,28.7,0.0,,,7.1,,1014.6,
Davis,2023-10-04,23.6,16.7,32.0,0.0,,,11.5,,1014.0,
Davis,2023-10-05,24.2,16.3,33.6,0.0,,,9.0,,1015.3,
Davis,2023-10-06,25.0,16.3,34.5,0.0,,,7.9,,1013.7,
Davis,2023-10-07,24.8,15.0,35.2,0.0,,,7.1,,1011.2,
Davis,2023-10-08,24.0,14.9,34.0,0.0,,,10.7,,1010.0,
Davis,2023-10-09,17.5,13.4,22.0,0.4,,,15.2,,1010.6,
Davis,2023-10-10,18.4,15.3,23.3,0.0,,,14.2,,1009.1,
Davis,2023-10-11,17.4,11.9,23.8,0.0,,,12.3,,1010.4,
Davis,2023-10-12,19.8,15.0,27.6,0.0,,,15.5,,1009.6,
Davis,2023-10-13,18.4,10.3,26.5,0.0,,,8.4,,1011.3,
Davis,2023-10-14,19.7,15.4,26.2,0.0,,,9.5,,1017.0,
Davis,2023-10-15,20.2,13.0,28.9,0.0,,,8.1,,1018.3,
Davis,2023-10-16,19.1,11.7,28.2,0.0,,,10.1,,1017.5,
Davis,2023-10-17,21.3,14.3,30.2,0.0,,,8.9,,1015.0,
Davis,2023-10-18,22.1,13.5,31.7,0.0,,,6.9,,1013.4,
Davis,2023-10-19,22.4,14.4,33.2,0.0,,,5.3,,1013.8,
Davis,2023-10-20,20.3,12.0,30.0,0.0,,,3.9,,1012.5,
Davis,2023-10-21,17.5,12.0,25.0,0.0,,,5.2,,1011.2,
Davis,2023-10-22,15.8,13.0,19.0,13.7,,,6.9,,1009.8,
Davis,2023-10-23,18.1,14.0,25.0,0.3,,,7.0,,1009.9,
Davis,2023-10-24,15.9,10.0,23.0,0.0,,,4.2,,1010.8,
Davis,2023-10-25,14.4,12.0,19.0,0.0,,,10.1,,1014.0,
Davis,2023-10-26,11.9,7.0,19.0,0.0,,,7.6,,1019.1,
Davis,2023-10-27,10.1,3.0,19.0,0.0,,,5.8,,1019.1,
Davis,2023-10-28,12.0,5.0,20.0,0.0,,,12.7,,1020.1,
Davis,2023-10-29,15.2,9.0,23.0,0.0,,,16.0,,1021.4,
Davis,2023-10-30,11.5,2.0,22.0,0.0,,,1.9,,1021.9,
Davis,2023-10-31,11.8,5.0,22.0,0.0,,,3.0,,1021.0,
Davis,2023-11-01,12.7,4.0,23.0,0.0,,,0.0,,1019.4,
Davis,2023-11-02,14.5,6.0,23.0,0.0,,,0.5,,1019.9,
Davis,2023-11-03,17.6,8.0,26.0,0.0,,,1.2,,1019.0,
Davis,2023-11-04,17.7,10.0,27.0,0.0,,,7.1,,1017.5,
Davis,2023-11-05,17.6,13.4,22.0,1.7,,,11.1,,1015.0,
Davis,2023-11-06,16.5,12.0,20.0,2.4,,,12.7,,1013.7,
Davis,2023-11-07,12.8,8.0,19.0,0.0,,,4.9,,1019.6,
Davis,2023-11-08,14.4,7.0,21.0,0.0,,,14.3,,1023.3,
Davis,2023-11-09,9.8,3.0,18.0,0.0,,,1.1,,1022.9,
Davis,2023-11-10,11.5,5.0,19.0,0.2,,,3.4,,1020.6,
Davis,2023-11-11,12.0,5.0,22.0,0.0,,,1.9,,1021.2,
Davis,2023-11-12,12.2,5.0,21.0,0.0,,,0.7,,1016.4,
Davis,2023-11-13,13.0,8.0,19.0,0.0,,,6.5,,1014.2,
Davis,2023-11-14,13.2,7.0,19.0,0.0,,,4.7,,1015.0,
Davis,2023-11-15,13.0,9.0,18.0,6.2,,,6.7,,1011.5,
Davis,2023-11-16,14.6,10.0,19.0,0.0,,,5.4,,1015.5,
Davis,2023-11-17,15.5,13.0,20.0,12.7,,,0.6,,1013.4,
Davis,2023-11-18,14.6,13.0,17.0,14.0,,,11.5,,1013.5,
Davis,2023-11-19,12.1,5.0,17.0,0.0,,,13.0,,1026.0,
Davis,2023-11-20,12.2,7.0,18.0,0.0,,,15.7,,1024.4,
Davis,2023-11-21,9.5,4.0,18.0,0.0,,,5.3,,1027.8,
Davis,2023-11-22,10.5,2.0,19.0,0.0,,,5.1,,1022.2,
Davis,2023-11-23,12.8,5.0,20.0,0.0,,,14.9,,1013.0,
Davis,2023-11-24,11.2,6.0,15.0,0.0,,,21.8,,1015.6,
Davis,2023-11-25,9.8,3.0,15.0,0.0,,,11.9,,1020.1,
Davis,2023-11-26,7.8,2.0,17.0,0.0,,,6.8,,1020.8,
Davis,2023-11-27,6.0,-1.0,15.0,0.0,,,1.6,,1021.1,
Davis,2023-11-28,7.2,1.0,15.0,0.0,,,2.6,,1021.0,
Davis,2023-11-29,9.5,4.0,17.0,1.6,,,5.9,,1016.6,
Davis,2023-11-30,9.2,3.0,17.0,0.0,,,1.2,,1015.3,
Davis,2023-12-01,9.8,2.0,17.0,0.0,,,3.1,,1020.6,
Davis,2023-12-02,12.1,10.0,15.0,2.1,,,9.4,,1023.7,
Davis,2023-12-03,14.0,10.0,18.0,0.0,,,6.9,,1025.3,
Davis,2023-12-04,11.6,7.0,19.0,0.0,,,0.0,,1024.5,
Davis,2023-12-05,11.0,6.0,18.0,0.0,,,0.0,,1022.6,
Davis,2023-12-06,10.2,5.0,15.0,4.5,,,11.2,,1017.5,
Davis,2023-12-07,9.4,6.0,14.0,3.4,,,8.4,,1022.6,
Davis,2023-12-08,8.8,4.0,14.0,0.0,,,13.2,,1025.0,
Davis,2023-12-09,7.8,3.0,13.0,0.0,,,6.5,,1027.6,
Davis,2023-12-10,5.9,1.0,13.0,0.0,,,2.6,,1025.9,
Davis,2023-12-11,6.8,0.0,16.0,0.0,,,0.0,,1018.8,
